Offense Parent Group,MCPP,Zipcode,Zip Code,Population,Avg. Income/H/hold
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,GREENWOOD,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,GREENWOOD,98103,98103,"41,971","$49,044.00"
MOTOR VEHICLE THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,GREENWOOD,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,GREENWOOD,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,GREENWOOD,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,NORTHGATE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
MOTOR VEHICLE THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
MOTOR VEHICLE THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
MOTOR VEHICLE THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,GREENWOOD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,FREMONT,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
ROBBERY,FREMONT,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
MOTOR VEHICLE THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,FREMONT,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,NORTHGATE,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,GREENWOOD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
ARSON,WALLINGFORD,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
FRAUD OFFENSES,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
TRESPASS OF REAL PROPERTY,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,GREENWOOD,98103,98103,"41,971","$49,044.00"
FRAUD OFFENSES,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
TRESPASS OF REAL PROPERTY,FREMONT,98103,98103,"41,971","$49,044.00"
MOTOR VEHICLE THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,FREMONT,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,WALLINGFORD,98103,98103,"41,971","$49,044.00"
DRIVING UNDER THE INFLUENCE,GREENWOOD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,GREENWOOD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,WALLINGFORD,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
MOTOR VEHICLE THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,WALLINGFORD,98103,98103,"41,971","$49,044.00"
BURGLARY/BREAKING&ENTERING,WALLINGFORD,98103,98103,"41,971","$49,044.00"
FRAUD OFFENSES,WALLINGFORD,98103,98103,"41,971","$49,044.00"
STOLEN PROPERTY OFFENSES,WALLINGFORD,98103,98103,"41,971","$49,044.00"
ROBBERY,FREMONT,98103,98103,"41,971","$49,044.00"
TRESPASS OF REAL PROPERTY,GREENWOOD,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
WEAPON LAW VIOLATIONS,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
FRAUD OFFENSES,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,GREENWOOD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,WALLINGFORD,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,NORTHGATE,98103,98103,"41,971","$49,044.00"
DRIVING UNDER THE INFLUENCE,WALLINGFORD,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,FREMONT,98103,98103,"41,971","$49,044.00"
ASSAULT OFFENSES,NORTHGATE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,FREMONT,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,PHINNEY RIDGE,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
STOLEN PROPERTY OFFENSES,ROOSEVELT/RAVENNA,98103,98103,"41,971","$49,044.00"
LARCENY-THEFT,FREMONT,98103,98103,"41,971","$49,044.00"
